[2026-02-05 14:16:46] User -> DCP deleted -> br@fci| Requested JSON -> {"uid":"all"} | all
[2026-02-05 14:24:20] User -> DCP added ->br@fci| Requested JSON -> {"name":"VK","type":"west","latitude":"19","longitude":"78","district":"Araria","id":"1001","demand":"70","demand_rice":"100"}
[2026-02-05 14:30:20] User -> DCP deleted -> br@fci| Requested JSON -> {"uid":"all"} | all
[2026-02-05 14:34:24] User -> DCP added ->br@fci| Requested JSON -> {"name":"VK","type":"west","latitude":"19","longitude":"78","district":"Araria","id":"br@fci","demand":"70","demand_rice":"100"}
[2026-02-05 14:34:42] User -> DCP deleted -> br@fci| Requested JSON -> {"uid":"all"} | all
[2026-02-05 14:34:42] User -> DCP deleted -> br@fci| Requested JSON -> {"uid":"all"} | all
[2026-02-05 14:34:48] User -> DCP Added -> br@fci| VK
[2026-02-05 14:41:28] User -> DCP Edit ->br@fci| Requested JSON -> {"name":"VK07","uniqueid":"DCP_69845d30746","active":"1","type":"west","latitude":"19","longitude":"78","district":"Araria","id":"br@fci","demand":"70","demand_rice":"100"}
[2026-02-05 14:45:18] User -> DCP Edit ->br@fci| Requested JSON -> {"name":"Vk07","uniqueid":"DCP_69845d30746","active":"1","type":"west","latitude":"19","longitude":"78","district":"Araria","id":"1001","demand":"70","demand_rice":"100"}
[2026-02-05 14:47:50] User -> DCP Edit -> br@fci| Vk07
[2026-02-05 14:49:20] User -> DCP deleted -> br@fci| Requested JSON -> {"uid":"all"} | all
[2026-02-05 14:49:28] User -> DCP Added -> br@fci| Vk07
[2026-02-05 14:50:17] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:50:18] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:50:30] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:50:31] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:50:32] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:50:51] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:50:52] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:50:53] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:50:54] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:51:07] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:51:08] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:51:09] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:51:10] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:51:32] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:51:33] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:51:33] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:51:34] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:51:40] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:51:48] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:51:49] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:51:49] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:52:03] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:52:04] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:52:05] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:52:06] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:53:19] User -> DCP Edit ->br@fci| Requested JSON -> {"name":"Vk0711","uniqueid":"DCP_698460a0af1","active":"1","type":"fast ","latitude":"19","longitude":"78","district":"Araria","id":"1001","demand":"70","demand_rice":"100"}
[2026-02-05 14:53:23] User -> DCP deleted -> br@fci| Requested JSON -> {"uid":"DCP_698460a0af1"} | Vk0711
[2026-02-05 14:53:32] User -> DCP Added -> br@fci| Vk07
[2026-02-05 14:53:46] User -> DCP InActive -> br@fci| Araria
[2026-02-05 14:54:42] User -> DCP InActive -> br@fci| Araria
[2026-02-05 14:54:44] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:55:41] User -> DCP InActive -> br@fci| Vk07
[2026-02-05 14:55:42] User -> DCP Active -> br@fci| Vk07
[2026-02-05 14:57:27] User -> DCP added ->br@fci| Requested JSON -> {"name":"VK","type":"west","latitude":"19","longitude":"78","district":"Araria","id":"111111","demand":"70","demand_rice":"100"}
[2026-02-05 14:59:12] User -> DCP added ->br@fci| Requested JSON -> {"name":"VK45566","type":"west","latitude":"19","longitude":"78","district":"Araria","id":"56777","demand":"70","demand_rice":"100"}
[2026-02-05 14:59:22] User -> DCP deleted -> br@fci| Requested JSON -> {"uid":"all"} | all
[2026-02-05 14:59:28] User -> DCP Added -> br@fci| Vk07
[2026-02-05 14:59:28] User -> DCP Added -> br@fci| VK
[2026-02-05 14:59:28] User -> DCP Added -> br@fci| VK45566
